Percentage served,Time in ms
0,4021.992
1,4140.619
2,7863.286
3,8207.004
4,8619.629
5,8681.944
6,8862.418
7,8880.564
8,9124.521
9,9154.779
10,9451.012
11,9465.168
12,9647.095
13,9650.223
14,9936.009
15,10085.247
16,10208.043
17,10220.543
18,10349.615
19,10450.795
20,10502.633
21,10621.452
22,10667.458
23,10670.533
24,10682.094
25,10692.313
26,10849.499
27,10874.658
28,10953.485
29,10978.437
30,10994.285
31,11004.693
32,11032.849
33,11036.063
34,11066.994
35,11069.000
36,11101.098
37,11115.740
38,11170.920
39,11189.411
40,11228.816
41,11235.550
42,11271.225
43,11335.038
44,11347.008
45,11417.888
46,11470.563
47,11489.235
48,11491.175
49,11534.513
50,11573.385
51,11583.934
52,11626.259
53,11661.008
54,11735.971
55,11766.610
56,11808.245
57,11809.408
58,11809.551
59,11818.949
60,11839.302
61,11927.410
62,11974.093
63,11993.861
64,11995.470
65,12003.566
66,12011.908
67,12056.799
68,12095.077
69,12135.983
70,12138.884
71,12141.250
72,12183.154
73,12209.606
74,12289.854
75,12292.583
76,12320.082
77,12372.609
78,12388.146
79,12421.159
80,12440.054
81,12488.553
82,12566.407
83,12575.180
84,12643.990
85,12648.542
86,12669.406
87,12762.690
88,12767.410
89,12814.596
90,12843.870
91,12987.034
92,13225.513
93,13380.956
94,13716.617
95,13787.430
96,14178.279
97,14951.635
98,18217.963
99,18374.661
